주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수
9PKnGqfgMcFMV2Eu9dvufK6qxNiqq1iP3uBZxMyApump,6157.01,37.20,165.49,29894.79,3
EJShTeM4Ceydg7DVmk8CN2vxoswJEm6rUYARHFv4pump,61066.66,61066.66,1.00,50906.46,2
9Ck3D2CrV1BWAaNYYUCEFTR1G2NWMZfHAnghbXFspump,44384.79,197.57,224.66,34824.97,2
onS3PfHftmKbVG7kYHN4jD1A5qib4BaZTvdREPMpump,6556.48,30.32,216.26,46292.75,1
EEsSQf7EF4jy6jJxn2Z7PgtJXMymt6rg9YH9TKw4pump,68996.53,1300.22,53.07,44891.49,1
H8rrsy9y4KU5zLnbTs4T1yoqb5jV6cGfSR3DbvoKChat,37722.02,5268.00,7.16,29585.02,1
26s2WUvymTGRVvj7NHicNaXYNf4rArTwKtJhrq36pump,88165.44,5140.25,17.15,26806.96,1
