주소,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
FZPPo6bDX3hgVCDxunQjcXpDzQAHh9D68CdphiH6pump,173897.77,6667.76,26.08,3517.25,1,2025-01-14
9R3EYfKhT2gwdLsGgW1wdj3ZawiVCqbUtPGwfiJEpump,388244.99,6925.09,56.06,3665.17,1,2025-01-14
HKUrsKki1hr88mBYLrsGxiHHa4kb7yseyaw9HRmppump,440113.32,14772.99,29.79,16521.18,1,2025-01-14
5hLmbiGPENzvCJZ5xovhep7dQVpoWZ3vJdxcFGTApump,926854.95,9896.39,93.66,7032.55,1,2025-01-14
AXUq7vNJvBA2gR8bkwDxsMkw5xVCexDyaA5UiXoDpump,278550.22,7580.11,36.75,4350.32,1,2025-01-14
2C1VMy9RxT37NSGNih5pUhfAYi3DXi5pU1ppkxMDpump,276798.60,7196.26,38.46,4013.90,1,2025-01-14
8PZh1MxPs1FtDFLFosa8q6JmfuEK8pvemtYPPgrapump,170745.60,11497.82,14.85,10374.34,1,2025-01-14
4Mi1Kjy2usAA1aGhrwPDXhHPmbmMQhjGXibgkmtMpump,97853.99,6619.09,14.78,3450.49,1,2025-01-14
EwMbUbY3D1E9PuCp22pkKUbHLxFdTrY8kkYKjfcepump,183374.53,10166.70,18.04,8042.99,1,2025-01-14
EZcGrwQWHdUFDeXZegxmwYidJx5JKjhMntTCLoTDpump,4348395.51,137502.58,31.62,1155629.11,1,2025-01-14
APVzpf9wKQumiK93hEs83TXDYSLLP6vNvhrKUhB5pump,314729.15,7571.86,41.57,4417.72,1,2025-01-14
8v95RYPSTehnq736D9gBWiBF3GmgzKVVcZhSimPDpump,1505503.40,8634.55,174.36,5297.47,1,2025-01-14
DgMAN3HEzv5zguwRosAMcZWdcvpsbcnst9PtPdjEpump,93334.94,6626.45,14.09,3505.89,1,2025-01-14
GPu2ddS8kvFzisctpgBTH4WDH5Lfp9tobZEu3Pzppump,346916.86,12444.56,27.88,12102.17,1,2025-01-14
6D9CrRggqUFQ2KUDnCDEBVNmEb3DD6x2Zbax5bZapump,281727.44,39365.31,7.16,121813.38,0,2025-01-15
