주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수
A7waCUZrjBG5TSwdY6MSyn5iLGCBF2a8hPtuscN3pump,297932.53,33826.93,8.81,2193440.49,23
AHWqKqELtDihTQRsrQmEc6C9ndcvLwMvNm9MgqBdpump,93627.44,34125.58,2.74,521620.54,5
