주소,심볼,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
Cm6gzmxxAPwWvwjwdpZqRCEEZKgGpzUtPV2fV3c45KU3,VERGEN,1909.62,0.00,0.00,31962.28,26,2025-01-15
BwUTq7fS6sfUmHDwAiCQZ3asSiPEapW5zDrsbwtapump,SOLFUNMEME,2491068.00,0.00,0.00,4396523.30,25,2025-01-16
DoHJhvbVXJeyAGpdGuBauYnkHVXtoQg1oLahDgnhpump,ORION,176311.38,0.00,0.00,2702501.24,23,2025-01-15
HRSsrhJZ3NhPAgxxuq2bmm7TZ7X6KZjMT7TEdgwbpump,ModelForge,467.69,0.00,0.00,15371.12,21,2025-01-15
4FkNq8RcCYg4ZGDWh14scJ7ej3m5vMjYTcWoJVkupump,LUMO,766491.73,0.00,0.00,5353059.69,17,2025-01-16
7F1u9MsGCsDnE1x8ES8w7nL6cvZoQCipeH67cDZYpump,SEQUOAI,977686.25,0.00,0.00,2133786.84,16,2025-01-16
2ZienbepmzYWZJChoMohN2Stnd6RgHXf2NjF3sd8pump,Ⓓ,9290.60,0.00,0.00,102457.90,16,2025-01-15
VUePdG5atZGysMc2BDVaFRVSB2nzYuivMsJGNkypump,BLOOM,9506277.56,0.00,0.00,32354.54,14,2025-01-16
5ojntBK5GrowACNbKzstqrTdE2K1fZ9DcdAXLSJZJgeU,TEST,336.65,0.00,0.00,15147.62,14,2025-01-15
53dig5bMmYBGNxDXAGFNjA59mqry3piqTpbFzYKEpump,GAIM,1367743.56,0.00,0.00,3248632.15,13,2025-01-16
JDnFwbW1EbDd6RdPpYM9xsovn39idmZ3aqsK9czqpump,RAWDOG,12957.11,0.00,0.00,36892.82,13,2025-01-16
9sbrLLnk4vxJajnZWXP9h5qk1NDFw7dz2eHjgemcpump,Beenz,6855510.05,0.00,0.00,6568190.64,12,2025-01-16
CdWg6AsJFmZXiiKhRNEjjr57GWGvjrFkc9jk2Xnapump,botdotfun,2078.11,0.00,0.00,13562.66,12,2025-01-16
6a3H6PjutFnGUp3ET4qFWgDksh8wTip75JHaNAf4pump,FLIPR,99.64,0.00,0.00,5078.36,12,2025-01-16
AXq7hB6Q2R1kLUKNhUiP7U2Wso27G3ocyhYg2vfmpump,gHtn0w2v,14.92,0.00,0.00,6864.27,12,2025-01-15
4z1sFP4pPhxtu3gYWa7f1QfwhndUzkWXuMkpKaqEpump,Davinci,2421.59,0.00,0.00,13153.70,12,2025-01-15
4dAR4LFZ81ituWaqwwCT2wtF7YJzpQeDB3CPvvvgpump,braincrash,1809.25,0.00,0.00,18911.60,11,2025-01-15
FtGvUx3jYw4kUFmQcMKqaiqAuMAn67Zd59bag426pump,Es16z,0.52,0.00,0.00,6079.99,11,2025-01-15
ED5TZKpKNmdcpAWA9jY4znAUSgt5CxLergdomg7Qpump,GAIN,2409.73,0.00,0.00,35118.27,11,2025-01-15
C13gr4JAGfUCWDpF5urn4WSh5YdCSdQBBuAKCsEspump,AGT,8991.01,0.00,0.00,13789.34,10,2025-01-16
FdYnqDoRkKH6RpDQBt93QdZVQg6hnaV6JW37Te76pump,HireMe,63226.43,0.00,0.00,88974.83,10,2025-01-16
rchcJ4k8uYibzSc7CZJbNbdzwLrQbkFwXHHX9RUpump,Ou,220040.79,0.00,0.00,466077.36,10,2025-01-15
GYVm74sfXFdYmTETZd5CdAR7a6DJ2aw9JR7EoUAGpump,TYRANNO,48942.42,0.00,0.00,113089.99,10,2025-01-15
BHSNKDDkb7m7WoxdnCHVZHV9VeKAbJvUVFiPuwLHpump,屁币,832.52,0.00,0.00,36625.57,10,2025-01-15
28srQP1zz47NwMScN9MTDZVBYJdz7cKbxQcFzJk5pump,jack,644.81,0.00,0.00,6607.30,9,2025-01-16
B8FcQnCvZa4vu3RGuY8q9HDKVmJ9Yeg9TpNg19mQpump,creai,4317.60,0.00,0.00,33147.62,9,2025-01-16
6GU8s2SkC3oc3HrUS9kgrtbZNXHqc3KtrPwks9A3pump,ARCH,1.45,0.00,0.00,5031.53,9,2025-01-16
tBr9kYgRJXkaEiVGuoxiHHgQR5mH6LxzoxQLZnXpump,CATTOWN,517.49,0.00,0.00,20098.53,9,2025-01-15
AiKomZkz1nTTXe5MUhgFnydEesFZkwHDfYogL36pump,FRIDGE,1350.27,0.00,0.00,22249.58,8,2025-01-16
DhDf7X9aChmwSJY8QZmY7hvQNNoyP2Dnum7197zApump,NODE,1851.84,0.00,0.00,50508.49,8,2025-01-16
ETNbWfrs41eMuJ7YwjLcGk34LmGgdqSBXufxqdgDpump,XADE,2.08,0.00,0.00,8235.00,8,2025-01-15
F67RQL3tB1FaRUHsSAU55Zm6Fb5ZAMv9jDpebcRZpump,303,1140.13,0.00,0.00,20528.32,8,2025-01-15
9uQ3t55bEHDy746wu6L5Sp541WgFHFhddBfYzBD1pump,Pinaka,0.84,0.00,0.00,4829.48,8,2025-01-15
PELGx59WwJXY83tbr85XGyVoHU7MHTJB8wP2PRiLmM9,IAN,79668.47,0.00,0.00,392220.82,8,2025-01-15
8U1muSuindGic2FC8F15gSuom7Eqyx6qnKJozbbFpump,Sus,163153.90,0.00,0.00,95093.03,7,2025-01-16
4jzWYhrVcVgcKv1FxPbRDfGV5W2iyzdZFDzCq34ypump,YLM,1042.09,0.00,0.00,25122.55,7,2025-01-16
ERFSiQapcKt1eTMdqdQvTTU39vwqr9YCBjXAT5MXpump,yellow,75.15,0.00,0.00,36313.05,7,2025-01-15
oZxB3oAKDD34gDBLpUtiwgZV93soQWfvu1nXNkMNdea,Ndeai,460218.78,0.00,0.00,53811.04,6,2025-01-16
4c2FMApnN56u3S9dqxAqy75hwqSMxNBMY5oyv3m5pump,OWLS,1212.19,0.00,0.00,26988.78,6,2025-01-16
tyM9ssJqeZoGfq4zuN3ek3LmixUrBjy6CSkb9Sdpump,axis,1412.39,0.00,0.00,11704.72,6,2025-01-16
5CHGWtNnHmsdqZuAy3oavBE4hExNeP6ZJA3zmKTxpump,Ip,53.95,0.00,0.00,6043.31,6,2025-01-16
Agentfk87X48g37uPprEZaQtizDvnSQVeTqVjAtmbhd3,$SOULS,60645.56,0.00,0.00,2034358.47,6,2025-01-16
7rnDwN83xqJZw1MNwnNZ71GjqWScapkfZWYz2vtPpump,SAAS,16.69,0.00,0.00,4009.24,6,2025-01-15
BNqRJAtAeaDmsgEE1Dy83q9iWjBePcV1KHAu5avAps3V,GIRLQUANT,294.79,0.00,0.00,7854.91,6,2025-01-15
4KqkKwNp5N4ERDraYx6heRHwwDhztpcDQd43fgRhpump,Ashera,62337.60,0.00,0.00,10685.39,6,2025-01-15
43y3BDsF8dtR2ZxvLbgZJXwEFBJHEZoSF94PrX14pump,Insects,4.22,0.00,0.00,5168.14,6,2025-01-15
DJu8nV4Xdv7DxstnUG2NyGd6aKgMHCK55N9ztj6w2DUr,DAWN,102.35,0.00,0.00,8841.05,6,2025-01-15
9fRnzpaFpdzQgpAB7HxgUqvTSHLXhQ36GKdfpA7Spump,RDL,2883940.50,0.00,0.00,205264.58,5,2025-01-16
4K4f5CXcnW2Y9emMuHbV38fQUsk1soP97LoLMq4Dpump,tateru,55383.00,0.00,0.00,144844.25,5,2025-01-16
HEVpie5AZHEgptautYh1BPdKgBQYVxZm6JmFgEk4pump,SOLID,80119.73,0.00,0.00,147553.58,5,2025-01-16
5Y7PB69AZYz7WGQmecYtLzrwVJQ9f3wrK9aPW82fpump,SYDNEY,2656.10,0.00,0.00,32283.91,5,2025-01-16
9xso2orEvHjW8gv2tKvurSBwHjsVaYaUkYP4WZHapump,Cleopetra,601.80,0.00,0.00,7960.87,5,2025-01-16
8ryEtMbyUnLDYWAKidVbJQpbxSpyqqjTwsvyC7Zvpump,qubit,7.22,0.00,0.00,4247.48,5,2025-01-16
XEY1FAE34fKjMLCLkJ5p2ccTTHTC4p7KEbq7V4Epump,Scamcoin,1102.09,0.00,0.00,7396.45,5,2025-01-16
2C2zdrbUZmMRsdgXq8eoqa1V8hgD4uBr271bqEFspump,BLO,28.01,0.00,0.00,8778.42,5,2025-01-16
2DWsUkjAt1PAZ7M1J9NSaPTaAG8nff7jgbYZk4FAARJ7,PFAT,679.15,0.00,0.00,37913.53,5,2025-01-15
FtfmPqo3DRB8XEJNQsHvPTgQkD4mYv8m2gkEisHCpump,Pelios,1000.56,0.00,0.00,59113.51,5,2025-01-15
7BQCrTheia3cY4wY2Y3WtHw73PLyHwz4TqNFEJbTpump,ONE,44.03,0.00,0.00,8345.38,5,2025-01-15
HQkpcnBeiTjYc6hk3P6q4DvdQFnh7muuBxR3Uhoupump,NEPLUS,160.04,0.00,0.00,16260.82,5,2025-01-15
BaQRxRjwjKnz5z3LanHFthW1pDn4XU7DLiQVy6QCpump,ZI16Z,2042.34,0.00,0.00,14159.04,5,2025-01-15
5r8AP7UWqkZHxqjVZ9Q2mCSmmVaGiJ8KzR26vmKbtrFH,GXAI,351.52,0.00,0.00,20369.43,5,2025-01-15
CMgURedDsHrZoQrhPmME82xqzEsLdiPDDKYKvsVgpump,pintopay,0.15,0.00,0.00,6122.73,5,2025-01-15
HDWfWsuRxtc7gWgwQQ4ykSK6hNrdRQhFXqJRaDwqpump,Saga,9.82,0.00,0.00,7002.19,5,2025-01-15
B26q26qYEdF8p2syp1rXUW2Rjr1tC6qfBBjbqxqBpump,DLLM,1.31,0.00,0.00,6079.70,5,2025-01-15
B3cif6B4FxUWK75VbUzG7ymxAxkozXEC4XLA6fFVpump,Solivis,0.54,0.00,0.00,5475.31,5,2025-01-15
2tfracXjQP4BX5KBhasPWn72xkm4EdBJykcs4omkpump,AiAn,49.02,0.00,0.00,4348.85,5,2025-01-15
