주소,심볼,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
DemJBQmLidtB9fQy47pRWnLKzHNGnifpNdb7vVuspump,PHINLP,1762.44,0.00,0.00,4728.49,4,2025-01-16
UkZJphSMeUv1mE3oE59gcTttYWWeaxDFVVGzxj6pump,TAIX,1759.03,0.00,0.00,9481.28,4,2025-01-16
cATvwWAvoAAppqQh5gd2QPt4dh66btBiD1oe1QKpump,VERSE,400.71,0.00,0.00,5346.89,4,2025-01-16
6qruo7mdHTXGqZ1y9874o7NKYgntseHdaEqMKfEupump,buck,6.62,0.00,0.00,3749.67,4,2025-01-16
ENUfKJBBbcVyJVNNyZXZszbLXQ1tnKccLkUgt7mWpump,OMNI,13.89,0.00,0.00,4792.16,4,2025-01-16
2tL39Z91nvTCfFTeu1mcz7XkM1sT73xQApoaMtKKpump,SOLID,31.12,0.00,0.00,5692.26,4,2025-01-16
HWdR5UPR5y9PU563Y1UGUCzxvBEbrbvrLUU1bh7Fpump,POPOS,4574.20,0.00,0.00,36501.69,4,2025-01-16
ofk66aKchrQzXv2xxVrZuQPyRsrNmTxgtG1FEaFpump,DogFlork,10539.74,0.00,0.00,316693.21,4,2025-01-16
B7pyh1KHZB1SKieASZU8oyRT8Bq847pnACeRRa9Cpump,$,84931.14,0.00,0.00,82489.26,4,2025-01-16
CQpqsW7fYE4dS2ixXSLCe2gi5XEYRu6zGAXUzY5Gpump,RAWCAT,73.05,0.00,0.00,5648.01,4,2025-01-16
5mEqGwSxm1fKj2PRDTGwWwBbiTQH7uTVk2hMR2gWpump,BurwickLaw,16644.29,0.00,0.00,43276.53,4,2025-01-16
Hxw6sipJWRzK8DsFQY4QELfzssMdDY6SLFpgTBq2pump,CEASEFIRE,1660.18,0.00,0.00,17971.83,4,2025-01-16
8HF2FhgZUeyiZfqoKo6auaH7MfaCWeH74Q8Prjvfpump,ACT47,2800.06,0.00,0.00,15964.93,4,2025-01-16
tWGMGYk3LyQyLULquGdqCZKqsnsGBugdSTULkcPpump,MNGU,235.44,0.00,0.00,16007.58,4,2025-01-16
FaACoewwBGoo83KS1HvC2B3Y83AYWKWx433a9ni1pump,KOWALI,46.12,0.00,0.00,4705.94,4,2025-01-16
4331DenxVCmP4CH9MB9s6sKN25Zpyp2E6LucRYvXpump,PSTAR,250.25,0.00,0.00,10256.63,4,2025-01-15
7atGqFkzJ3qqgEAcpXrgSVW8x3iDCfzDpRjMTAKxChat,FTRCH,925.93,0.00,0.00,20302.14,4,2025-01-15
2EKT7eLRUe4sRyQ1M4Hi7WxvEEg4Ruch1FM6aCW3pump,SEC,661.82,0.00,0.00,8733.12,4,2025-01-15
5j5sbRyJZSa5wSiKhateqi8eTZz5LtDGZCxj1RJgpump,TOPBLAST,15.50,0.00,0.00,8518.47,4,2025-01-15
7tFcT1WumaVUJKzgAxmdEtnt8CzTm6kCjQwiEBr4pump,fish,13983.32,0.00,0.00,633259.58,4,2025-01-15
CesFrkRyz4otSugjyEnQmoUdgejBvoj4F4XpfKjbpump,BTC1996,0.33,0.00,0.00,6585.43,4,2025-01-15
CpPRLnLtKPHd7vsrvhzjqthHUAfg5G3XqF1mX3JKpump,ndc,303910.52,0.00,0.00,12367.04,3,2025-01-16
HT1jeoJVHesg1nZ8GLVMbNEUGLWhH661WdQknmEmpump,Lock,302094.68,0.00,0.00,57535.81,3,2025-01-16
Bm86T1yWoPHH6G2zcW6RnuDht2jLsrBVJGQqdZVnpump,DAIT,161203.86,0.00,0.00,8154.70,3,2025-01-16
2E5c6RqWj1x6NdJL7VbLKz9cJnzGx2xjEgqpkSRFpump,CROCO,391777.10,0.00,0.00,84490.43,3,2025-01-16
9aypXCJen54v9n193VUx5iWwjM8h7S6evhGnfudcpump,Tako,547004.39,0.00,0.00,114374.33,3,2025-01-16
43fEHV3Cty28HnGr6xfDSh6TAJQcmCd4rU7x95tXpump,bor,102011.84,0.00,0.00,34612.08,3,2025-01-16
7dX988SRFn1jsxDMcSraVzMe3G3VamWdrPWDCHjBpump,CLEO,1421.32,0.00,0.00,5284.47,3,2025-01-16
2dsp9SNVyjDDasSzxEyLS5XrmvzEMgZJ76FHDxPrpump,AiWiki,1114.42,0.00,0.00,5840.38,3,2025-01-16
3Rrqy1hxDHQoL3kuZyno4rU4t8rsTcMRMoLF7VJMpump,NNA,344.66,0.00,0.00,6033.08,3,2025-01-16
751EgL9yvUCRDmAM3HZEsBTnVBUY9VPnF4Rgv3eHpump,Fern ,1488.35,0.00,0.00,5346.05,3,2025-01-16
CtnmMYTcNcEtSFTxiGASi7mU3RKspywZo3J6dFD2pump,BRETT,3822.34,0.00,0.00,3633.22,3,2025-01-16
3dCckUB1S5jkp2RbnSmwyyynL4Psu7BMKjdSav2bpump,Visara,17.80,0.00,0.00,4682.07,3,2025-01-16
Bo55VTEhGN3wzJRzL27KFaFq28PRWXhZpiHT812jpump,BTC,11879.08,0.00,0.00,30930.60,3,2025-01-16
G61BkKxwkFqbkpV3a2iKnh3TWAkSkUjCqKaWf2Rfpump,gus,943.04,0.00,0.00,5399.84,3,2025-01-16
HB6kPyA7yiyvuhg89zXisdvBJR1ch8wmjw1gfJ9Qpump,SOULDOGE,211.52,0.00,0.00,55690.82,3,2025-01-16
6j1qkEK7kH7niT2s4h38TDAPhVgFnyN9AFqYGx9LiZao,MTTGA,1856.27,0.00,0.00,10899.45,3,2025-01-16
C3CwuEgwspHj9A69Tof7CWjmYcj8B2XmoygLxjgxpump,TAB,28.60,0.00,0.00,4893.61,3,2025-01-16
5yiu8FCAhXtVsHwPtMTReqS23sds9LLXpDaV2Y6npump,TPX4200,79.49,0.00,0.00,6768.84,3,2025-01-16
N8jWsuQdoDQosvgT7YePfczhvBsVMaQsR3FXcSHpump,MIND,2175.61,0.00,0.00,11549.92,3,2025-01-16
7dq9fmeQVFBH2gKh6CUrgbDFcL9eNhMBD2gGoqQTpump,Rapier,0.01,0.00,0.00,4723.09,3,2025-01-16
5FpBn4QPYhJsw1qC89ZeGDmsLWNefHsV9vX5c3nDpump,Lynzie,1439.61,0.00,0.00,13371.20,3,2025-01-16
FZhFyVxRPiXuHvhWQCsZHq6kdwWW7kcrUeZz3f7Bpump,CRON,21.81,0.00,0.00,5201.75,3,2025-01-16
F5NGeZTpbf4VtMa3xvS8tBmAa2wNBEmdyWEtGMYEpump,BJ,12.73,0.00,0.00,3930.07,3,2025-01-16
c2hsJTQJFRhgRLYnKJMa33aPGWf78RTLziB6jWPpump,Broge,2131.93,0.00,0.00,26807.63,3,2025-01-16
J9CCJXZ5E8LdJKD8KeYEtCT1ufuh8126Vk6hwF98pump,ROO,30781.82,0.00,0.00,305789.31,3,2025-01-16
8ukwS8V6ydKdUzhxG8VNHxdxR1m5V6JoUK6FzCHipump,DonPollo,1812.19,0.00,0.00,29926.37,3,2025-01-16
DUouAzTeEHcdGt7toAzCeebq1NeDM2f9StPXzyDxpump,AUTO,7.84,0.00,0.00,4719.17,3,2025-01-16
5gZsff6q2s1UBdqT1wvxe3viXbTk9HksAo4wwuMUpump,SANA,8.70,0.00,0.00,3943.64,3,2025-01-16
J2JXB8qcpZMCR4sVKqETMv8dkpbMsNssajEfgtmTpump,LOTE,4105.45,0.00,0.00,29236.06,3,2025-01-16
WjqbBXNpwhhMF56tvvYvbc4rNjFujSicB52ZvDypump,UNPROMPT,16.71,0.00,0.00,3932.93,3,2025-01-16
2x9Qkr9TnjbzSLrDQuPfCv8EfvcqYHmhnG2mKUz3imcp,Manen,2505.22,0.00,0.00,19997.52,3,2025-01-16
69UKyQzsXPbfiwwQvJwo7dz2tuqh2EJCUdsk6ka9pump,LYRA,15.35,0.00,0.00,6999.85,3,2025-01-16
CYtQD7AbEmq1NFdG9fkHj6bM84Jty33rv9JjBiipump,Desire,4.35,0.00,0.00,7698.41,3,2025-01-16
DEQXWJ8WGYcDeHphDQTbLkjC4HausCFrA8Cx116qpump,STARRY,0.38,0.00,0.00,3954.09,3,2025-01-16
C9jo5H2RrJSdB5at272o6R4H2GccdhiZmUUqmoaMpump,RALPH,50.74,0.00,0.00,36485.06,3,2025-01-15
5VtLsvhQhHueQrukbrFMstWYdybxA9msNadcCN8Qpump,AI911,4100.57,0.00,0.00,30008.94,3,2025-01-15
HxEps5LPD2Jgwej7V7HpqsVUA6MNhcZ5nEEy26Zspump,INDIE,4.08,0.00,0.00,3833.15,3,2025-01-15
7mB2HQcRZqhX3WTLgnMxD2qT9y2nYknVt6mCgfTppump,©,60.33,0.00,0.00,5718.43,3,2025-01-15
72smm9J35o99G6ddmCy2Uj75qjrHykJJ6FSP6M5Hpump,ARTGRAM,1183.32,0.00,0.00,29906.05,3,2025-01-15
9GmWrTXboPGnziCXT9NGMwoFvTy4Rm18NTVqzBXXpump,YEARBOOK,31.34,0.00,0.00,4375.73,3,2025-01-15
EcVgSFKxwoBKeGz61fatSQeXpNrA65ACApntqjTnpump,ACT 🦅,1218.70,0.00,0.00,14263.12,3,2025-01-15
Ej5gPuHcRjjvN4T1RGYHG7kpjrUAUaFdz64xU7T8pump,GENESIS,8453.09,0.00,0.00,1124291.35,3,2025-01-15
4ddWZ1krbw45V3WD2bqUvbR9CSn2Ek2UP9ysBGnSpump,NETRON,33.76,0.00,0.00,3766.99,3,2025-01-15
BhE8iBejCnuYXtpXMo12yfxjZnTEVWWhv2GQW1vPya4D,grim,31492.03,0.00,0.00,123170.65,3,2025-01-15
GTTBnqng66CxumwYiKBySo7rXgBQsaGDFXeVKyJDpump,ply,10.00,0.00,0.00,3713.84,3,2025-01-15
3wMXw5NzaPu3uE16yPDETmpyCe9XyE5HNfdhJEgFpump,NLP,19.37,0.00,0.00,5512.10,3,2025-01-15
94EZsyUuh2k6d5SGKpeRd7DzQTrDCvgyqA3j44wXpump,OPOS,152.41,0.00,0.00,4209.71,3,2025-01-15
4zizRYrT7YC1msyNaPiEZ13u5PTDg6wc18Km7y4Hpump,SEC QUANT,2.91,0.00,0.00,4792.88,3,2025-01-15
4WkBfQmLu2DrRkpUEik8kXuzSbw89cmE3ZooCbyupump,FART,989735.20,0.00,0.00,19458.48,2,2025-01-16
9u1x5YHySf9WMwhW6ZxV1vRirbxxwvdLC8s9WhsVa9NQ,DW,128360.49,0.00,0.00,4973.27,2,2025-01-16
HUiKo7ut38FzzBeA4yjcKG2q32wjg8nQUu2ibdEBpump,ASRC,126858.24,0.00,0.00,4803.23,2,2025-01-16
5KCqo4uKVW7PsoT5PwMbcA4SgCZQiUskLsxqUgxDpump,CLEO,636.30,0.00,0.00,5376.47,2,2025-01-16
B99g7NfTLZCPud873AvE8ySBav7C7FgqDYfwmMuKpump,ECASH,51281.50,0.00,0.00,10793.28,2,2025-01-16
Cs4DKVLXYCmmjzpwrMxTvkb4wWMWjfgdeU8nymSkpump,VORA,191.45,0.00,0.00,4415.10,2,2025-01-16
DTWgAtvDh7auqF6AAY17vCQkmV1d6WExMNras4ajpump,AYAME,39.32,0.00,0.00,4467.62,2,2025-01-16
4uVeFdnouMuQUd4WnvTL81KDTJFTYRiYPiw6MxXwpump,OupiGoupi,4688.02,0.00,0.00,9602.61,2,2025-01-16
2oCVHzoEXZAHqTAi4d5LgvnhaSSJrzZZifJeB3qtpump,PERC,30.25,0.00,0.00,5101.17,2,2025-01-16
TAarwNZQijRxRDMK1Aw8boB7bkvhfaWowRuTo4fpump,Godot,11.30,0.00,0.00,4030.64,2,2025-01-16
EpBUSwdjQVQfenU1wtJiGSwsi6XVT9kH1yhmLuEqpump,XBTWF,79.87,0.00,0.00,4023.72,2,2025-01-16
Gw3ZWh48wVACMfvYXw8byXCKrh79R8U9w6W7KUbRpump,quv,15.42,0.00,0.00,6619.03,2,2025-01-16
c9vYLNG5KCHzqb98hhKFWMSpme4NJRbcQm93Czgpump,SCOPAI,3074.41,0.00,0.00,8429.04,2,2025-01-16
6H5PzERkDohqgyDbB1t63SiZq1FncUVYbiNV8bTCpump,körf,20040.17,0.00,0.00,23455.72,2,2025-01-16
2AHCVMc9A9ncBaZrVWcjvhJAoU27rmrMUtDk9RTWpump,MASTODON,27.17,0.00,0.00,4526.55,2,2025-01-16
1sXZ3urQEGtsqxJXjhpnNJwxRRGaDZ9igCq7kcwpump,MAE,5.10,0.00,0.00,4959.67,2,2025-01-16
C7FKWgGQLNwJctkU9szErJQMgr6JTscDcz79FoJWpump,Eido,3.16,0.00,0.00,5625.97,2,2025-01-16
BF6qmBJPSvrMt3tyKyRv9zb3cQaK35bdppggmggnpump,DMN,35.80,0.00,0.00,4662.61,2,2025-01-16
F5UVyrhV2b6QMbm3pYAJQTyA7QYtmh1BBWEbBWRpump,RATIONAL,13437.65,0.00,0.00,20007.97,2,2025-01-16
8udqdv6fGJDGwt25PuRFAwcSNv68retDF6UFdXGKpump,SolFi,74708.39,0.00,0.00,18875.11,2,2025-01-16
43R1Y611i1wms36fChJFTvVgqFT3JKrf9dhRpodgpump,VIBING ,1183.25,0.00,0.00,5192.75,2,2025-01-16
7MwMZuooAdxzmyw6UCmBX6THynkCJMed3PsVhiTBpump,FALCON,3.59,0.00,0.00,5336.38,2,2025-01-16
3i5BVMYk8zBryguwTx6ABzeTU26vnpzkkXMg5GTrpump,RAWFART,85.72,0.00,0.00,6228.95,2,2025-01-16
149zwoah9vTLuxP7riyWMBEEVM77na6RMjmySEDypump,FURAGENTS,0.01,0.00,0.00,3853.73,2,2025-01-16
AAN5s7FFv1gQZdMLfE3GXENh3P6v7deM7ghYgAiipump,UFLA,1.22,0.00,0.00,3871.46,2,2025-01-16
Ad9UqVy5NyMmfqvPkAUe93ZwFsEUkxqD69vvDmuRpump,adopt,3.40,0.00,0.00,4978.52,2,2025-01-16
2i1wbi2FCeKwSkFDxs1ymB588Lg7RmCafL5FMkrQHLnM,YiLong ,1.32,0.00,0.00,3858.98,2,2025-01-16
AGmqMTjS6nckEDhraLJWhsrdVJyVezJWDgoQZrcrpump,Dayana,1.54,0.00,0.00,4230.36,2,2025-01-16
4TYikYkjyPf7aAmpB8Rtq4FH2i3nKm4oCDEwqh5Gpump,RONIN,13.91,0.00,0.00,4874.37,2,2025-01-16
3H7HucQ3i5Y7NQQGpvXLGwEyQjJ8LGac6fynA77Gq5vn,WINGS,0.65,0.00,0.00,5297.39,2,2025-01-16
61R2PaKSkRsUX433JSARfNN75PJ8DcxrkS82azV2pump,GNGA,17.36,0.00,0.00,5462.11,2,2025-01-16
53CLNCxSknJfW3nMLZxsWCBC2DLizHdRrWuq2NHtpump,ACTII ,177.54,0.00,0.00,9815.80,2,2025-01-16
C3WdC4Ztjp6r1DoEqCYabYTJjRc64MnE2DTGa7Hzpump,MediQ,93.21,0.00,0.00,4336.44,2,2025-01-16
Eab2H73fxuq31ASHVyt8HMmvjCjQFbzdxvZhrsrbpump,Photon,1.22,0.00,0.00,3655.18,2,2025-01-16
8yVbEaCssBtx3MmgQXZ3pReLhwJv9dp4EEZYVtcVpump,iwu,43.31,0.00,0.00,5969.29,2,2025-01-16
Hanacog31u9FHXRjiDV1M7aMemrZ61EHgy4MySf5kzn4,hana,2.32,0.00,0.00,3905.93,2,2025-01-16
HCRzdrqxFkddWfEjeD6rhL5wGHSsQRtaH9gQLkJLpump,catlab,1.22,0.00,0.00,3516.75,2,2025-01-16
884YTk7RRsfcdCdYq2wUNZzovwR42kk9GzDWGwe8pump,FOMO,16.68,0.00,0.00,4014.76,2,2025-01-16
LJkxTkKL8C9vvzJ5CzCN4YyJrSkZebZgnsybA4sraDH,PLY,10.44,0.00,0.00,4094.70,2,2025-01-16
9RCedFdZeuC7CCk4bgeDXK6iid5nqGhdNdwA9iaTpump,XiaoZhi,9.47,0.00,0.00,3817.00,2,2025-01-16
5oJtpgR7R2UcmYUpwLchcJTrfJAyuptsPEdPgACVpump,visara,0.01,0.00,0.00,3877.63,2,2025-01-16
9GrdhRgtsxZAyiFV269jENGG8n6Tv7sPK1ms9ULhpump,SBYTE,2.04,0.00,0.00,3685.37,2,2025-01-16
CLUUbniU9B5dee7QiDPvemNEigLhkudvkxxZP6wNpump,TALK,0.01,0.00,0.00,3640.08,2,2025-01-16
CRFtg5veahmNmvJb5sPLCh4SMjrHswmj8BGDuVEQpump,LYZR,1.23,0.00,0.00,4117.78,2,2025-01-16
HjX2BjAbaYoGdGTHnNkZ3GcZEVLe2n5yxJ45kbL1pump,KovralisAI,19.07,0.00,0.00,4409.42,2,2025-01-16
9faGduPLRedmFHjthX9KGQ3NYaCjQJtaAcyKEsHMDu3r,Jack,1.07,0.00,0.00,3647.50,2,2025-01-16
Gp1RRohyPMoH6GohoxGAA9uecaJLsb7jK7EUhDvpump,SPARK,1.75,0.00,0.00,4350.27,2,2025-01-16
CN9qtoB7M4gP76RFmwhMk9UJetf3PGzZqTQ64CCHpump,Floneum,14.45,0.00,0.00,3956.62,2,2025-01-16
G8AkZdtLtA79zVsRiHuVyzRRak64ECPD94i4BRQdpump,AVELINE,1.46,0.00,0.00,4789.81,2,2025-01-16
GAtqndA6qCoC3Z4HgMCyp4NH5HczySCdcfGvvhaSpump,Rhyzion,10.76,0.00,0.00,7988.11,2,2025-01-16
41zAp9spdpY7BS8tYdDWcCe9KxH93ezXSe4bQF1Xpump,CRIMECYCLE,2.22,0.00,0.00,4381.12,2,2025-01-16
CUkqmwqQwvpZpHxCKWiXDFPBL3ceMcetv9yb53zcpump,MIRGIN,1799.61,0.00,0.00,35297.30,2,2025-01-15
DRXuRZR1sUSZSDfvNZzWTCT6ydLzWw3EaLAWj6Vhpump,DOGꓨOꓷ,0.60,0.00,0.00,5267.99,2,2025-01-15
5hq6Hai6VB61C1myyCkyHifnHz4rBvivGf19K8Pkpump,BTC,6982.09,0.00,0.00,53622.14,2,2025-01-15
Hw5W7RSFTg7AF4ZfoXdQgnkEisKGJUAwTNhCL4ELpump,RWA6900,206.71,0.00,0.00,16009.16,2,2025-01-15
Hq1xBKEqTLj3pk7HFFnpGiHAKBYeif6EENGxbC9mpump,LANAI,138.82,0.00,0.00,7436.13,2,2025-01-15
