주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수
5HYUPjBnwk2mpsLpk6dWpbeJyxHdRaVniUN88nbppump,268348.88,36637.82,7.32,70338.94,2
49uEMwrxCUfBnpmxCz2Fk3R7UuhpqF4mH3gK7aaYpump,125442.32,26063.18,4.81,44291.36,2
H9Nq3jtwYo7krJh19oMsk4gaAVmY6ysbzG1zvNVLpump,197041.81,18668.34,10.55,35739.10,2
Ca4XiH3CPHb5GJqgwZMvdJuLpp7TpPz7McJfMi3Rpump,2066.21,609.27,3.39,32442.25,2
HTuAdNDaQdD2bn54cM6Lsnv7bFiPvFY7PQ75tQti2hat,3769.13,191.37,19.70,29206.95,2
5c37vfVwyvzYKx3pJVeUdebz6EWfD1zuLyK3mF2ppump,309349.00,3162.55,97.82,27508.71,2
7nKoanT7oBzWAdcHaztYB5g5snBGSFpfmsLkxkXYpump,9135.89,1230.32,7.43,56186.30,1
ECvbJEajRDYrHhrdCnQfJzANkDsNjgb5rv5yAYTYpump,92342.06,92342.06,1.00,35966.03,1
FqznCrzaq4HVaaZYPaiJ18Xbx9847QVTzjJviM35pump,120345.25,18049.21,6.67,34010.72,1
HV96d5onzBbJUJJC8WeUyeS1AV6mxt3wYBjepLoCpump,5841.84,0.21,27323.86,30331.87,1
72smm9J35o99G6ddmCy2Uj75qjrHykJJ6FSP6M5Hpump,62353.93,4689.70,13.30,27939.29,1
