주소,심볼,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
4z1sFP4pPhxtu3gYWa7f1QfwhndUzkWXuMkpKaqEpump,Davinci,922386.05,30056.80,30.69,318704.62,8,2025-01-15
9uQ3t55bEHDy746wu6L5Sp541WgFHFhddBfYzBD1pump,Pinaka,9179.35,30069.44,0.31,5835.86,8,2025-01-15
HDWfWsuRxtc7gWgwQQ4ykSK6hNrdRQhFXqJRaDwqpump,Saga,427245.62,30045.74,14.22,6929.30,5,2025-01-15
ED5TZKpKNmdcpAWA9jY4znAUSgt5CxLergdomg7Qpump,GAIN,1208573.76,30009.40,40.27,362691.32,5,2025-01-15
B26q26qYEdF8p2syp1rXUW2Rjr1tC6qfBBjbqxqBpump,DLLM,28436.75,29901.95,0.95,21202.12,5,2025-01-15
B3cif6B4FxUWK75VbUzG7ymxAxkozXEC4XLA6fFVpump,Solivis,791.77,29882.99,0.03,6733.71,5,2025-01-15
2tfracXjQP4BX5KBhasPWn72xkm4EdBJykcs4omkpump,AiAn,5716.83,29903.53,0.19,8114.24,5,2025-01-15
2EKT7eLRUe4sRyQ1M4Hi7WxvEEg4Ruch1FM6aCW3pump,SEC,179809.95,30022.04,5.99,35727.83,4,2025-01-15
4ddWZ1krbw45V3WD2bqUvbR9CSn2Ek2UP9ysBGnSpump,NETRON,118269.58,30077.34,3.93,3781.10,3,2025-01-15
GTTBnqng66CxumwYiKBySo7rXgBQsaGDFXeVKyJDpump,ply,436.86,30118.42,0.01,3747.15,3,2025-01-15
5j5sbRyJZSa5wSiKhateqi8eTZz5LtDGZCxj1RJgpump,TOPBLAST,57842.69,29822.94,1.94,13116.51,3,2025-01-15
6D9CrRggqUFQ2KUDnCDEBVNmEb3DD6x2Zbax5bZapump,FFSR,540817.53,30007.82,18.02,9919.14,2,2025-01-15
5NeQzC9MUaviofAoc5bKnBQEedh9ipPaGBDGz4akpump,$Griffin,513607.85,30036.26,17.10,77081.73,2,2025-01-15
BhE8iBejCnuYXtpXMo12yfxjZnTEVWWhv2GQW1vPya4D,grim,335329.42,30041.00,11.16,41302.49,2,2025-01-15
DoHJhvbVXJeyAGpdGuBauYnkHVXtoQg1oLahDgnhpump,ORION,974809.34,30061.54,32.43,1386162.60,2,2025-01-15
8cUkRGhy46F4maZbAaeGBg3x9sB84f3xNVLb5b5upump,POPDON,80888.40,30120.01,2.69,71139.23,1,2025-01-15
ERFSiQapcKt1eTMdqdQvTTU39vwqr9YCBjXAT5MXpump,yellow,95153.37,30058.38,3.17,43057.97,1,2025-01-15
MLRZp7SFr5sCxr9rFSoHcbpEzvNKN28aviGidcupump,Refract ,1180695.99,30036.26,39.31,4411.93,1,2025-01-15
3NEZhKeQ1wvg9ncSWHQLHvSRxnbZQtjPBEf5QASjpump,Pongo,332810.66,30116.84,11.05,37186.93,1,2025-01-15
GuhL8RsEoUa9Pmqg3uA87Pzzuhc4MZNCyn6EPNX7pump,Ross,219530.10,30096.30,7.29,37769.67,1,2025-01-15
96ReVgQFxRHdYgLxkPJp69TmEayTSx2HEnu6XYtQpump,PUNX,4207675.55,30077.34,139.90,4455.72,1,2025-01-15
3MFJEh1CkMSrzJREz6Phr3Co54SdgeruTX9ECgELpump,COTER,111548.59,30086.82,3.71,8097.74,1,2025-01-15
CApV5r65pAZXyTF3qpz18NjFNLEfHocekSeocKJ8pump,TYT,561.35,29821.36,0.02,6081.26,1,2025-01-15
