주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수
9PKnGqfgMcFMV2Eu9dvufK6qxNiqq1iP3uBZxMyApump,6157.01,37.20,165.49,29894.79,3
9Ck3D2CrV1BWAaNYYUCEFTR1G2NWMZfHAnghbXFspump,44925.55,197.57,227.39,34824.97,2
onS3PfHftmKbVG7kYHN4jD1A5qib4BaZTvdREPMpump,6556.48,30.32,216.26,46292.75,1
DvTBFCN9i4KGdNuFc3xsmXYDooKxGeGeNnrCtFJDpump,85027.09,26316.49,3.23,44928.77,1
EEsSQf7EF4jy6jJxn2Z7PgtJXMymt6rg9YH9TKw4pump,68640.43,984.70,69.71,44644.53,1
H8rrsy9y4KU5zLnbTs4T1yoqb5jV6cGfSR3DbvoKChat,37218.38,4748.37,7.84,28620.77,1
